wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1156.0116,0,0.13895,4.7167e-07,6.8049,6.9439
1156.0216,0,0.13895,4.7164e-07,6.8057,6.9446
1156.0317,0,0.13895,4.716e-07,6.8064,6.9454
1156.0417,0,0.13895,4.7156e-07,6.8072,6.9461
1156.0517,0,0.13895,4.7152e-07,6.8079,6.9469
1156.0618,0,0.13895,4.7149e-07,6.8087,6.9476
1156.0718,0,0.13895,4.7145e-07,6.8094,6.9484
1156.0818,0,0.13895,4.7141e-07,6.8102,6.9491
1156.0919,0,0.13895,4.7137e-07,6.8109,6.9499
1156.1019,0,0.13895,4.7134e-07,6.8117,6.9506
1156.1120,0,0.13895,4.713e-07,6.8124,6.9514
1156.1220,0,0.13895,4.7126e-07,6.8132,6.9522
1156.1320,0,0.13895,4.7122e-07,6.814,6.9529
1156.1421,0,0.13895,4.7118e-07,6.8147,6.9537
1156.1521,0,0.13895,4.7115e-07,6.8155,6.9544
1156.1621,0,0.13895,4.7111e-07,6.8162,6.9552
1156.1722,0,0.13895,4.7107e-07,6.817,6.9559
1156.1822,0,0.13895,4.7103e-07,6.8177,6.9567
1156.1922,0,0.13895,4.7099e-07,6.8185,6.9574
1156.2023,0,0.13895,4.7096e-07,6.8192,6.9582
1156.2123,0,0.13895,4.7092e-07,6.82,6.9589
1156.2224,0,0.13895,4.7088e-07,6.8207,6.9597
1156.2324,0,0.13895,4.7084e-07,6.8215,6.9604
1156.2424,0,0.13895,4.7081e-07,6.8222,6.9612
1156.2525,0,0.13895,4.7077e-07,6.823,6.9619
1156.2625,0,0.13895,4.7073e-07,6.8237,6.9627
1156.2725,0,0.13895,4.7069e-07,6.8245,6.9634
1156.2826,0,0.13895,4.7065e-07,6.8252,6.9642
1156.2926,0,0.13895,4.7061e-07,6.826,6.965
1156.3026,0,0.13895,4.7058e-07,6.8268,6.9657
1156.3127,0,0.13895,4.7054e-07,6.8275,6.9665
1156.3227,0,0.13895,4.705e-07,6.8283,6.9672
1156.3327,0,0.13895,4.7046e-07,6.829,6.968
1156.3428,0,0.13895,4.7042e-07,6.8298,6.9687
1156.3528,0,0.13895,4.7039e-07,6.8305,6.9695
1156.3629,0,0.13895,4.7035e-07,6.8313,6.9702
1156.3729,0,0.13895,4.7031e-07,6.832,6.971
1156.3829,0,0.13895,4.7027e-07,6.8328,6.9717
1156.3930,0,0.13895,4.7023e-07,6.8335,6.9725
1156.4030,0,0.13895,4.7019e-07,6.8343,6.9732
1156.4130,0,0.13895,4.7015e-07,6.835,6.974
1156.4231,0,0.13895,4.7012e-07,6.8358,6.9747
1156.4331,0,0.13895,4.7008e-07,6.8365,6.9755
1156.4431,0,0.13895,4.7004e-07,6.8373,6.9762
1156.4532,0,0.13895,4.7e-07,6.838,6.977
1156.4632,0,0.13895,4.6996e-07,6.8388,6.9777
1156.4733,0,0.13895,4.6992e-07,6.8395,6.9785
1156.4833,0,0.13895,4.6989e-07,6.8403,6.9792
1156.4933,0,0.13895,4.6985e-07,6.841,6.98
1156.5034,0,0.13895,4.6981e-07,6.8418,6.9807
1156.5134,0,0.13895,4.6977e-07,6.8425,6.9815
1156.5234,0,0.13895,4.6973e-07,6.8433,6.9822
1156.5335,0,0.13895,4.6969e-07,6.844,6.983
1156.5435,0,0.13895,4.6965e-07,6.8448,6.9837
1156.5535,0,0.13895,4.6961e-07,6.8455,6.9845
1156.5636,0,0.13895,4.6958e-07,6.8463,6.9853
1156.5736,0,0.13895,4.6954e-07,6.8471,6.986
1156.5836,0,0.13895,4.695e-07,6.8478,6.9868
1156.5937,0,0.13895,4.6946e-07,6.8486,6.9875
1156.6037,0,0.13895,4.6942e-07,6.8493,6.9883
1156.6138,0,0.13895,4.6938e-07,6.8501,6.989
1156.6238,0,0.13895,4.6934e-07,6.8508,6.9898
1156.6338,0,0.13895,4.693e-07,6.8516,6.9905
1156.6439,0,0.13895,4.6926e-07,6.8523,6.9913
1156.6539,0,0.13895,4.6922e-07,6.8531,6.992
1156.6639,0,0.13895,4.6919e-07,6.8538,6.9928
1156.6740,0,0.13895,4.6915e-07,6.8546,6.9935
1156.6840,0,0.13895,4.6911e-07,6.8554,6.9943
1156.6940,0,0.13895,4.6907e-07,6.8561,6.9951
1156.7041,0,0.13895,4.6903e-07,6.8569,6.9958
1156.7141,0,0.13895,4.6899e-07,6.8576,6.9966
1156.7242,0,0.13895,4.6895e-07,6.8584,6.9973
1156.7342,0,0.13895,4.6891e-07,6.8591,6.9981
1156.7442,0,0.13895,4.6887e-07,6.8599,6.9988
1156.7543,0,0.13895,4.6883e-07,6.8606,6.9996
1156.7643,0,0.13895,4.6879e-07,6.8614,7.0003
1156.7743,0,0.13895,4.6875e-07,6.8621,7.0011
1156.7844,0,0.13895,4.6872e-07,6.8629,7.0018
1156.7944,0,0.13895,4.6868e-07,6.8636,7.0026
1156.8044,0,0.13895,4.6864e-07,6.8644,7.0033
1156.8145,0,0.13895,4.686e-07,6.8651,7.0041
1156.8245,0,0.13895,4.6856e-07,6.8659,7.0048
1156.8345,0,0.13895,4.6852e-07,6.8666,7.0056
1156.8446,0,0.13895,4.6848e-07,6.8674,7.0063
1156.8546,0,0.13895,4.6844e-07,6.8681,7.0071
1156.8647,0,0.13895,4.684e-07,6.8689,7.0078
1156.8747,0,0.13895,4.6836e-07,6.8696,7.0086
1156.8847,0,0.13895,4.6832e-07,6.8704,7.0093
1156.8948,0,0.13895,4.6828e-07,6.8712,7.0101
1156.9048,0,0.13895,4.6824e-07,6.8719,7.0109
1156.9148,0,0.13895,4.682e-07,6.8726,7.0116
1156.9249,0,0.13895,4.6816e-07,6.8734,7.0124
1156.9349,0,0.13895,4.6812e-07,6.8742,7.0131
1156.9449,0,0.13895,4.6808e-07,6.8749,7.0139
1156.9550,0,0.13895,4.6804e-07,6.8757,7.0146
1156.9650,0,0.13895,4.68e-07,6.8764,7.0154
1156.9751,0,0.13895,4.6796e-07,6.8772,7.0161
1156.9851,0,0.13895,4.6792e-07,6.8779,7.0169
1156.9951,0,0.13895,4.6788e-07,6.8787,7.0176
1157.0052,0,0.13895,4.6784e-07,6.8794,7.0184
1157.0152,0,0.13895,4.678e-07,6.8802,7.0191
1157.0252,0,0.13895,4.6776e-07,6.8809,7.0199
1157.0353,0,0.13895,4.6772e-07,6.8816,7.0206
1157.0453,0,0.13895,4.6768e-07,6.8824,7.0213
1157.0553,0,0.13895,4.6764e-07,6.8831,7.0221
1157.0654,0,0.13895,4.676e-07,6.8839,7.0228
1157.0754,0,0.13895,4.6756e-07,6.8846,7.0236
1157.0855,0,0.13895,4.6752e-07,6.8854,7.0243
1157.0955,0,0.13895,4.6748e-07,6.8861,7.0251
1157.1055,0,0.13895,4.6744e-07,6.8869,7.0258
1157.1156,0,0.13895,4.674e-07,6.8876,7.0266
